"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치년도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"월계1동 51-11 주변",1,서울특별시 노원구 화랑로43가길 17,서울특별시 노원구 월계동 51-11,37.6150539962,127.0627163368,,한전주,02-2116-4157,서울특별시 노원구청,2020-07-10
"월계1동 51-16 주변",1,서울특별시 노원구 화랑로43가길 24,서울특별시 노원구 월계동 51-16,37.6148916446,127.0630423989,,한전주,02-2116-4157,서울특별시 노원구청,2020-07-10
"월계1동 51-13 주변",1,서울특별시 노원구 화랑로43가길 30,서울특별시 노원구 월계동 51-13,37.6148842644,127.0633640606,,한전주,02-2116-4157,서울특별시 노원구청,2020-07-10
"월계1동  51-5 주변",1,서울특별시 노원구 화랑로43가길 29,서울특별시 노원구 월계동 51-5,37.6150248355,127.0633324661,,전용주,02-2116-4157,서울특별시 노원구청,2020-07-10
"월계1동 51-15 주변",1,서울특별시 노원구 화랑로43가길 26,서울특별시 노원구 월계동 51-15,37.6148771706,127.0631511195,,한전주,02-2116-4157,서울특별시 노원구청,2020-07-10
"월계1동 50-15 주변",1,서울특별시 노원구 화랑로43나길 12,서울특별시 노원구 월계동 50-15,37.6150325023,127.0624716694,,한전주,02-2116-4157,서울특별시 노원구청,2020-07-10
"월계1동 495-11 주변",1,서울특별시 노원구 화랑로43길 18-4,서울특별시 노원구 월계동 494-12,37.6145100035,127.0623307864,,한전주,02-2116-4157,서울특별시 노원구청,2020-07-10
"월계1동 495-8 주변",1,서울특별시 노원구 화랑로43나길 5,서울특별시 노원구 월계동 495-8,37.6146505911,127.0622674765,,전용주,02-2116-4157,서울특별시 노원구청,2020-07-10
"월계1동 495-14 주변",1,서울특별시 노원구 화랑로43길 22-3,서울특별시 노원구 월계동 495-14,37.6145894098,127.0621043269,,건축물,02-2116-4157,서울특별시 노원구청,2020-07-10
"월계1동 495-6 주변",1,서울특별시 노원구 화랑로43길 24,서울특별시 노원구 월계동 479-52,37.6145030102,127.0619230346,,건축물,02-2116-4157,서울특별시 노원구청,2020-07-10
"월계1동 495-4 주변",1,서울특별시 노원구 화랑로43길 28,서울특별시 노원구 월계동 495-4,37.6146941004,127.0617691552,,건축물,02-2116-4157,서울특별시 노원구청,2020-07-10
"월계1동 495-3 주변",1,서울특별시 노원구 화랑로43길 32,서울특별시 노원구 월계동 495-3,37.6147193992,127.0616332604,,한전주,02-2116-4157,서울특별시 노원구청,2020-07-10
"월계1동 479-47 주변",1,서울특별시 노원구 화랑로43길 36,서울특별시 노원구 월계동 495-10,37.6147447119,127.0614701824,,전용주,02-2116-4157,서울특별시 노원구청,2020-07-10
"월계1동 479-27 주변",1,서울특별시 노원구 석계로9길 66,서울특별시 노원구 월계동 68-18,37.6158152879,127.0610814329,,한전주,02-2116-4157,서울특별시 노원구청,2020-07-10
"월계1동 479-27 주변",1,서울특별시 노원구 석계로9길 66,서울특별시 노원구 월계동 68-18,37.6158152879,127.0610814329,,한전주,02-2116-4157,서울특별시 노원구청,2020-07-10
"월계1동 495-13 주변",1,서울특별시 노원구 화랑로43길 18-5,서울특별시 노원구 월계동 495-11,37.6145749320,127.0622221082,,한전주,02-2116-4157,서울특별시 노원구청,2020-07-10
"월계1동 479-4 주변",1,서울특별시 노원구 화랑로43길 12,서울특별시 노원구 월계동 479-4,37.6143441282,127.0625073375,,한전주,02-2116-4157,서울특별시 노원구청,2020-07-10
"월계1동 495-21 주변",1,서울특별시 노원구 화랑로43다길 14,서울특별시 노원구 월계동 495-21,37.6152277028,127.0613527855,,한전주,02-2116-4157,서울특별시 노원구청,2020-07-10
"월계1동 492-1 주변",1,서울특별시 노원구 화랑로43길 34,서울특별시 노원구 월계동 492-1,37.6150581943,127.0615882346,,전용주,02-2116-4157,서울특별시 노원구청,2020-07-10
"월계1동 월계동 46-1 주변",1,서울특별시 노원구 화랑로 337,서울특별시 노원구 월계동 46-1,37.6152400736,127.0651675238,,한전주,02-2116-4157,서울특별시 노원구청,2020-07-10
"월계1동 46-11 주변",1,서울특별시 노원구 화랑로 335-16,서울특별시 노원구 월계1동 46-11,37.615268,127.064937,,한전주,02-2116-4157,서울특별시 노원구청,2020-07-10
"월계1동 46-1 주변",1,서울특별시 노원구 화랑로 337,서울특별시 노원구 월계동 46-1,37.6152400736,127.0651675238,,전용주,02-2116-4157,서울특별시 노원구청,2020-07-10
"월계1동 47-14 뒤 주변",1,서울특별시 노원구 석계로8가길 27,서울특별시 노원구 월계동 47-14,37.6155429579,127.0648914231,,전용주,02-2116-4157,서울특별시 노원구청,2020-07-10
"월계1동 62-9 주변",1,서울특별시 노원구 화랑로 337-17,서울특별시 노원구 월계동 62-9,37.6156726178,127.0650410450,,한전주,02-2116-4157,서울특별시 노원구청,2020-07-10
"월계1동 402-17 주변",1,서울특별시 노원구 광운로7길 6,서울특별시 노원구 월계동 402-17,37.6207576076,127.0585119301,,한전주,02-2116-4157,서울특별시 노원구청,2020-07-10
"월계1동 61-5 주변",1,서울특별시 노원구 석계로8가길 19,서울특별시 노원구 월계동 61-5,37.6158709697,127.0647965657,,한전주,02-2116-4157,서울특별시 노원구청,2020-07-10
"월계1동 68-65 주변",1,서울특별시 노원구 석계로8길 6,서울특별시 노원구 월계동 68-65,37.6166387404,127.0645616386,,한전주,02-2116-4157,서울특별시 노원구청,2020-07-10
"월계1동 64-2 주변",1,서울특별시 노원구 석계로8가길 7,서울특별시 노원구 월계동 64-2,37.6163828227,127.0646293767,,건축물,02-2116-4157,서울특별시 노원구청,2020-07-10
"월계1동 64-6 주변",1,서울특별시 노원구 석계로8가길 11,서울특별시 노원구 월계동 64-6,37.6162422438,127.0646745612,,한전주,02-2116-4157,서울특별시 노원구청,2020-07-10
"월계1동 61-4 주변",1,서울특별시 노원구 석계로8가길 17,서울특별시 노원구 월계동 61-4,37.6159574795,127.0647694572,,한전주,02-2116-4157,서울특별시 노원구청,2020-07-10
"월계1동 447-24 주변",1,서울특별시 노원구 광운로6길 37-4,서울특별시 노원구 월계동 447-24,37.6187677953,127.0593757478,,건축물,02-2116-4157,서울특별시 노원구청,2020-07-10
"월계1동 47-2 주변",1,서울특별시 노원구 석계로8길 30,서울특별시 노원구 월계동 47-2,37.6156763265,127.0648507638,,한전주,02-2116-4157,서울특별시 노원구청,2020-07-10
"월계1동 47-17 주변",1,서울특별시 노원구 석계로 8-1,서울특별시 노원구 월계동 47-17,37.6156764110,127.0646967241,,한전주,02-2116-4157,서울특별시 노원구청,2020-07-10
"월계1동 64-18 주변",1,서울특별시 노원구 석계로 15,서울특별시 노원구 월계동 64-18,37.6161451401,127.0643029670,,건축물,02-2116-4157,서울특별시 노원구청,2020-07-10
"월계1동 63-9 주변",1,서울특별시 노원구 석계로 11-1,서울특별시 노원구 월계동 63-9,37.6159468858,127.0643707553,,한전주,02-2116-4157,서울특별시 노원구청,2020-07-10
"월계1동 47-18 주변",1,서울특별시 노원구 석계로 8,서울특별시 노원구 월계동 47-18,37.6155718766,127.0647328781,,한전주,02-2116-4157,서울특별시 노원구청,2020-07-10
"월계1동 58-2 주변",1,서울특별시 노원구 석계로1길 10,서울특별시 노원구 월계동 58-2,37.6156334826,127.0641122421,,한전주,02-2116-4157,서울특별시 노원구청,2020-07-10
"월계1동 55-3 주변",1,서울특별시 노원구 석계로3길 16,서울특별시 노원구 월계동 55-3,37.6159363128,127.0639312781,,한전주,02-2116-4157,서울특별시 노원구청,2020-07-10
"월계1동 58-8 주변",1,서울특별시 노원구 석계로3길 12,서울특별시 노원구 월계동 58,37.6161777358,127.0640085053,,한전주,02-2116-4157,서울특별시 노원구청,2020-07-10
"월계1동 55-14 주변",1,서울특별시 노원구 석계로1길 14,서울특별시 노원구 월계동 55-14,37.6155543038,127.0639128288,,건축물,02-2116-4157,서울특별시 노원구청,2020-07-10
"월계1동 55-11 주변",1,서울특별시 노원구 석계로3길 15,서울특별시 노원구 월계동 55-11,37.6158210673,127.0637816700,,한전주,02-2116-4157,서울특별시 노원구청,2020-07-10
"월계1동 68-68 주변",1,서울특별시 노원구 석계로7길 11,서울특별시 노원구 월계동 68-68,37.6164012495,127.0638818393,,한전주,02-2116-4157,서울특별시 노원구청,2020-07-10
"월계1동 55-0 주변",1,서울특별시 노원구 석계로5길 11,서울특별시 노원구 월계동 55,37.6161489827,127.0638635011,,한전주,02-2116-4157,서울특별시 노원구청,2020-07-10
"월계1동 64-19 주변",1,서울특별시 노원구 석계로5길 7,서울특별시 노원구 월계동 64-19,37.6163074657,127.0640312696,,건축물,02-2116-4157,서울특별시 노원구청,2020-07-10
"월계1동 68-21 주변",1,서울특별시 노원구 석계로7길 10,서울특별시 노원구 월계동 68-21,37.6165058400,127.0637414792,,한전주,02-2116-4157,서울특별시 노원구청,2020-07-10
"월계1동 68-28 주변",1,서울특별시 노원구 석계로7길 14,서울특별시 노원구 월계동 68-28,37.6163473542,127.0635782415,,통신주,02-2116-4157,서울특별시 노원구청,2020-07-10
"월계1동 489-12 주변",1,서울특별시 노원구 석계로7길 31,서울특별시 노원구 월계동 489-12,37.6156736027,127.0632288130,,한전주,02-2116-4157,서울특별시 노원구청,2020-07-10
"월계1동 489-12 주변",1,서울특별시 노원구 석계로7길 31,서울특별시 노원구 월계동 489-12,37.6156736027,127.0632288130,,한전주,02-2116-4157,서울특별시 노원구청,2020-07-10
"월계1동 489-12 주변",1,서울특별시 노원구 석계로7길 31,서울특별시 노원구 월계동 489-12,37.6156736027,127.0632288130,,한전주,02-2116-4157,서울특별시 노원구청,2020-07-10
"월계1동 489-9 주변",1,서울특별시 노원구 석계로7길 29-1,서울특별시 노원구 월계동 489-9,37.6157347507,127.0634508635,,한전주,02-2116-4157,서울특별시 노원구청,2020-07-10
"월계1동 68-24 주변",1,서울특별시 노원구 석계로7길 12-6,서울특별시 노원구 월계동 68-24,37.6164231249,127.0634152034,,한전주,02-2116-4157,서울특별시 노원구청,2020-07-10
"월계1동 68-21 주변",1,서울특별시 노원구 석계로7길 10,서울특별시 노원구 월계동 68-21,37.6165058400,127.0637414792,,한전주,02-2116-4157,서울특별시 노원구청,2020-07-10
"월계1동 68-83 주변",1,서울특별시 노원구 석계로7길 6-6,서울특별시 노원구 월계동 68-83,37.6165924570,127.0635150212,,통신주,02-2116-4157,서울특별시 노원구청,2020-07-10
"월계1동 68-32 주변",1,서울특별시 노원구 석계로3길 33,서울특별시 노원구 월계동 68-32,37.6162900455,127.0629167222,,한전주,02-2116-4157,서울특별시 노원구청,2020-07-10
"월계1동 68-32 주변",1,서울특별시 노원구 석계로3길 33,서울특별시 노원구 월계동 68-32,37.6162900455,127.0629167222,,한전주,02-2116-4157,서울특별시 노원구청,2020-07-10
"월계1동 55-5 주변",1,서울특별시 노원구 석계로7길 24,서울특별시 노원구 월계동 55-5,37.6159979170,127.0633061078,,건축물,02-2116-4157,서울특별시 노원구청,2020-07-10
"월계1동 68-9 주변",1,서울특별시 노원구 석계로3길 27,서울특별시 노원구 월계동 68-9,37.6161277151,127.0632020138,,건축물,02-2116-4157,서울특별시 노원구청,2020-07-10
"월계1동 487-9 주변",1,서울특별시 노원구 석계로5길 27,서울특별시 노원구 월계동 487-9,37.6159513199,127.0628303554,,건축물,02-2116-4157,서울특별시 노원구청,2020-07-10
"월계1동 487-11 주변",1,서울특별시 노원구 석계로5길 27-4,서울특별시 노원구 월계동 487-11,37.6157746998,127.0628800433,,건축물,02-2116-4157,서울특별시 노원구청,2020-07-10
"월계1동 487-13 주변",1,서울특별시 노원구 석계로5길 31-5,서울특별시 노원구 월계동 487-13,37.6157711609,127.0627577144,,건축물,02-2116-4157,서울특별시 노원구청,2020-07-10
"월계1동 487-12 주변",1,서울특별시 노원구 석계로5길 31,서울특별시 노원구 월계동 487-12,37.6158792939,127.0627306217,,한전주,02-2116-4157,서울특별시 노원구청,2020-07-10
"월계1동 487-16 주변",1,서울특별시 노원구 석계로5길 31-6,서울특별시 노원구 월계동 487-16,37.6157532278,127.0625945982,,건축물,02-2116-4157,서울특별시 노원구청,2020-07-10
"월계1동 68-21 주변",1,서울특별시 노원구 석계로7길 10,서울특별시 노원구 월계동 68-21,37.6165058400,127.0637414792,,한전주,02-2116-4157,서울특별시 노원구청,2020-07-10
"월계1동 487-18 주변",1,서울특별시 노원구 석계로5길 37-3,서울특별시 노원구 월계동 487-18,37.6157640997,127.0624813426,,건축물,02-2116-4157,서울특별시 노원구청,2020-07-10
"월계1동 487-23 주변",1,서울특별시 노원구 석계로5길 39,서울특별시 노원구 월계동 487-23,37.6156921619,127.0622139780,,건축물,02-2116-4157,서울특별시 노원구청,2020-07-10
"월계1동 490-1 주변",1,서울특별시 노원구 석계로5길 43,서울특별시 노원구 월계동 490-1,37.6157210651,127.0620780845,,건축물,02-2116-4157,서울특별시 노원구청,2020-07-10
"월계1동 490-1 주변",1,서울특별시 노원구 석계로5길 43,서울특별시 노원구 월계동 490-1,37.6157210651,127.0620780845,,한전주,02-2116-4157,서울특별시 노원구청,2020-07-10
"월계1동 68-14 주변",1,서울특별시 노원구 석계로5길 50,서울특별시 노원구 월계동 68-14,37.6159122906,127.0616659592,,한전주,02-2116-4157,서울특별시 노원구청,2020-07-10
"월계1동 68-58 주변",1,서울특별시 노원구 석계로9길 64,서울특별시 노원구 월계동 68-58,37.6159269682,127.0611630750,,건축물,02-2116-4157,서울특별시 노원구청,2020-07-10
"월계1동 68-52 주변",1,서울특별시 노원구 석계로9길 58,서울특별시 노원구 월계동 68-52,37.6160529629,127.0614395451,,한전주,02-2116-4157,서울특별시 노원구청,2020-07-10
"월계1동 68-53 주변",1,서울특별시 노원구 석계로9길 58,서울특별시 노원구 월계동 68-52,37.6160529629,127.0614395451,,건축물,02-2116-4157,서울특별시 노원구청,2020-07-10
"월계1동 68-95 주변",1,서울특별시 노원구 석계로9길 59,서울특별시 노원구 월계동 68-95,37.6159699894,127.0615980478,,건축물,02-2116-4157,서울특별시 노원구청,2020-07-10
"월계1동 68-50 주변",1,서울특별시 노원구 석계로9길 53,서울특별시 노원구 월계동 68-50,37.6160708076,127.0617748246,,한전주,02-2116-4157,서울특별시 노원구청,2020-07-10
"월계1동 68-39 주변",1,서울특별시 노원구 석계로3길 31-20,서울특별시 노원구 월계동 68-39,37.6161211275,127.0620331110,,한전주,02-2116-4157,서울특별시 노원구청,2020-07-10
"월계1동 486-16 주변",1,서울특별시 노원구 석계로3길 35-10,서울특별시 노원구 월계동 486-16,37.6162183388,127.0622144164,,건축물,02-2116-4157,서울특별시 노원구청,2020-07-10
"월계1동 68-47 주변",1,서울특별시 노원구 석계로3길 31-17,서울특별시 노원구 월계동 68-47,37.6160273485,127.0621780124,,건축물,02-2116-4157,서울특별시 노원구청,2020-07-10
"월계1동 68-36 주변",1,서울특별시 노원구 석계로3길 31-12,서울특별시 노원구 월계동 68-36,37.6161569927,127.0623638755,,한전주,02-2116-4157,서울특별시 노원구청,2020-07-10
"월계1동 68-43 주변",1,서울특별시 노원구 석계로5길 30,서울특별시 노원구 월계동 68-60,37.6160918644,127.0628485961,,건축물,02-2116-4157,서울특별시 노원구청,2020-07-10
"월계1동 68-33 주변",1,서울특별시 노원구 석계로3길 31-6,서울특별시 노원구 월계동 68-33,37.6162504792,127.0627717091,,건축물,02-2116-4157,서울특별시 노원구청,2020-07-10
"월계1동 482-4 주변",1,서울특별시 노원구 석계로9길 51,서울특별시 노원구 월계동 482-4,37.6161788692,127.0618836488,,건축물,02-2116-4157,서울특별시 노원구청,2020-07-10
"월계1동 482-1 주변",1,서울특별시 노원구 석계로9길 47,서울특별시 노원구 월계동 482-1,37.6163193305,127.0620604594,,한전주,02-2116-4157,서울특별시 노원구청,2020-07-10
"월계1동 485-15 주변",1,서울특별시 노원구 석계로9길 39,서울특별시 노원구 월계동 485-15,37.6164560919,127.0624184928,,한전주,02-2116-4157,서울특별시 노원구청,2020-07-10
"월계1동 485-13 주변",1,서울특별시 노원구 석계로11길 45,서울특별시 노원구 월계동 485-13,37.6165676630,127.0627040162,,한전주,02-2116-4157,서울특별시 노원구청,2020-07-10
"월계1동 68-32 주변",1,서울특별시 노원구 석계로3길 33,서울특별시 노원구 월계동 68-32,37.6162900455,127.0629167222,,건축물,02-2116-4157,서울특별시 노원구청,2020-07-10
"월계1동 486-14 주변",1,서울특별시 노원구 석계로3길 35-6,서울특별시 노원구 월계동 486-14,37.6163406983,127.0625452538,,건축물,02-2116-4157,서울특별시 노원구청,2020-07-10
"월계1동 486-2 주변",1,서울특별시 노원구 석계로3길 34-7,서울특별시 노원구 월계동 486-2,37.6164917118,127.0632068526,,한전주,02-2116-4157,서울특별시 노원구청,2020-07-10
"월계1동 485-12 주변",1,서울특별시 노원구 석계로11길 41,서울특별시 노원구 월계동 485-12,37.6166108599,127.0627991959,,한전주,02-2116-4157,서울특별시 노원구청,2020-07-10
"월계1동 484 주변",1,서울특별시 노원구 석계로11길 35,서울특별시 노원구 월계동 484,37.6168629963,127.0630621859,,한전주,02-2116-4157,서울특별시 노원구청,2020-07-10
"월계1동 69-17 주변",1,서울특별시 노원구 석계로11길 29,서울특별시 노원구 월계동 69-17,37.6170214391,127.0633069756,,전용주,02-2116-4157,서울특별시 노원구청,2020-07-10
"월계1동 482-4 주변",1,서울특별시 노원구 석계로9길 51,서울특별시 노원구 월계동 482-4,37.6161788692,127.0618836488,,한전주,02-2116-4157,서울특별시 노원구청,2020-07-10
"월계1동 485-6 주변",1,서울특별시 노원구 석계로11길 37-1,서울특별시 노원구 월계동 485-6,37.6167584987,127.0630303831,,건축물,02-2116-4157,서울특별시 노원구청,2020-07-10
"월계1동 485-9 주변",1,서울특별시 노원구 석계로11길 37-6,서울특별시 노원구 월계동 485-9,37.6166395150,127.0631299568,,건축물,02-2116-4157,서울특별시 노원구청,2020-07-10
"월계1동 69-17 주변",1,서울특별시 노원구 석계로11길 29,서울특별시 노원구 월계동 69-17,37.6170214391,127.0633069756,,건축물,02-2116-4157,서울특별시 노원구청,2020-07-10
"월계1동 69-14 주변",1,서울특별시 노원구 석계로11길 27-8,서울특별시 노원구 월계동 69-14,37.6168160504,127.0632388417,,건축물,02-2116-4157,서울특별시 노원구청,2020-07-10
"월계1동 69-8 주변",1,서울특별시 노원구 석계로11길 23,서울특별시 노원구 월계동 69-8,37.6171618739,127.0635290976,,전용주,02-2116-4157,서울특별시 노원구청,2020-07-10
"월계1동 435-9 주변",1,서울특별시 노원구 석계로9길 25,서울특별시 노원구 월계동 435-9,37.6169459573,127.0629308668,,한전주,02-2116-4157,서울특별시 노원구청,2020-07-10
"월계1동 74-10 주변",1,서울특별시 노원구 석계로9길 17,서울특별시 노원구 월계동 74-10,37.6171764503,127.0632300856,,한전주,02-2116-4157,서울특별시 노원구청,2020-07-10
"월계1동 74-9 주변",1,서울특별시 노원구 석계로9길 10,서울특별시 노원구 월계동 74-9,37.6175979860,127.0634660389,,한전주,02-2116-4157,서울특별시 노원구청,2020-07-10
"월계1동 74-8 주변",1,서울특별시 노원구 석계로11길 14,서울특별시 노원구 월계동 74-8,37.6177204862,127.0635295729,,한전주,02-2116-4157,서울특별시 노원구청,2020-07-10
"월계1동 74-5 주변",1,서울특별시 노원구 석계로11길 8,서울특별시 노원구 월계동 74-5,37.6179475351,127.0635297661,,건축물,02-2116-4157,서울특별시 노원구청,2020-07-10
"월계1동 74-5 주변",1,서울특별시 노원구 석계로11길 8,서울특별시 노원구 월계동 74-5,37.6179475351,127.0635297661,,건축물,02-2116-4157,서울특별시 노원구청,2020-07-10
"월계1동 73-10 주변",1,서울특별시 노원구 석계로9길 5-6,서울특별시 노원구 월계동 73-10,37.6175150147,127.0636154812,,건축물,02-2116-4157,서울특별시 노원구청,2020-07-10
"월계1동 68-109 주변",1,서울특별시 노원구 석계로 23-18,서울특별시 노원구 월계동 68-109,37.6167906621,127.0635378431,,한전주,02-2116-4157,서울특별시 노원구청,2020-07-10
"월계1동 68-8 주변",1,서울특별시 노원구 석계로5길 42,서울특별시 노원구 월계동 68-8,37.6159156784,127.0620782463,,전용주,02-2116-4157,서울특별시 노원구청,2020-07-10
"월계1동 54-3 주변",1,서울특별시 노원구 석계로7길 33,서울특별시 노원구 월계동 54-3,37.6155691269,127.0631562353,,한전주,02-2116-4157,서울특별시 노원구청,2020-07-10
"월계1동 489-14 주변",1,서울특별시 노원구 석계로7길 34,서울특별시 노원구 월계동 489-14,37.6156124760,127.0629659877,,한전주,02-2116-4157,서울특별시 노원구청,2020-07-10
"월계1동 54-6 주변",1,서울특별시 노원구 석계로1길 32,서울특별시 노원구 월계동 54-6,37.6155765114,127.0628255095,,전용주,02-2116-4157,서울특별시 노원구청,2020-07-10
"월계1동 489-17 주변",1,서울특별시 노원구 석계로1길 36,서울특별시 노원구 월계동 489-17,37.6156054586,127.0626080661,,한전주,02-2116-4157,서울특별시 노원구청,2020-07-10
"월계1동 487-23 주변",1,서울특별시 노원구 석계로5길 39,서울특별시 노원구 월계동 487-23,37.6156921619,127.0622139780,,전용주,02-2116-4157,서울특별시 노원구청,2020-07-10
"월계1동 490-9 주변",1,서울특별시 노원구 석계로5길 45,서울특별시 노원구 월계동 490-9,37.6157211317,127.0619512282,,한전주,02-2116-4157,서울특별시 노원구청,2020-07-10
"월계1동 491-8 주변",1,서울특별시 노원구 석계로1길 54,서울특별시 노원구 월계동 491-8,37.6157465018,127.0616794140,,건축물,02-2116-4157,서울특별시 노원구청,2020-07-10
"월계1동 491 주변",1,서울특별시 노원구 석계로1길 58,서울특별시 노원구 월계동 491,37.6157502357,127.0614302348,,한전주,02-2116-4157,서울특별시 노원구청,2020-07-10
"월계1동 487-22 주변",1,서울특별시 노원구 석계로5길 37-6,서울특별시 노원구 월계동 487-22,37.6156776743,127.0623498834,,한전주,02-2116-4157,서울특별시 노원구청,2020-07-10
"월계1동 479-26 주변",1,서울특별시 노원구 석계로9길 66,서울특별시 노원구 월계동 68-18,37.6158152879,127.0610814329,,한전주,02-2116-4157,서울특별시 노원구청,2020-07-10
"월계1동 472-39 주변",1,서울특별시 노원구 석계로1길 76,서울특별시 노원구 월계동 472-39,37.6160894312,127.0606104739,,한전주,02-2116-4157,서울특별시 노원구청,2020-07-10
"월계1동 472-37 주변",1,서울특별시 노원구 석계로1길 80,서울특별시 노원구 월계동 472-37,37.6161868447,127.0604021448,,전용주,02-2116-4157,서울특별시 노원구청,2020-07-10
"월계1동 472-37 주변",1,서울특별시 노원구 석계로1길 80,서울특별시 노원구 월계동 472-37,37.6161868447,127.0604021448,,한전주,02-2116-4157,서울특별시 노원구청,2020-07-10
"월계1동 476-22 주변",1,서울특별시 노원구 석계로1길 68,서울특별시 노원구 월계동 479-26,37.6158477891,127.0609546028,,전용주,02-2116-4157,서울특별시 노원구청,2020-07-10
"월계1동 483 주변",1,서울특별시 노원구 석계로9길 58,서울특별시 노원구 월계동 68-52,37.6160529629,127.0614395451,,한전주,02-2116-4157,서울특별시 노원구청,2020-07-10
"월계1동 475-2 주변",1,서울특별시 노원구 광운로2나길 1,서울특별시 노원구 월계동 475-2,37.6170377093,127.0597504173,,전용주,02-2116-4157,서울특별시 노원구청,2020-07-10
"월계1동 475-2 주변",1,서울특별시 노원구 광운로2나길 1,서울특별시 노원구 월계동 475-2,37.6170377093,127.0597504173,,전용주,02-2116-4157,서울특별시 노원구청,2020-07-10
"월계1동 475-2 주변",1,서울특별시 노원구 광운로2나길 1,서울특별시 노원구 월계동 475-2,37.6170377093,127.0597504173,,한전주,02-2116-4157,서울특별시 노원구청,2020-07-10
"월계1동 475-4 주변",1,서울특별시 노원구 광운로2나길 5,서울특별시 노원구 월계동 475-4,37.6167745474,127.0598951875,,한전주,02-2116-4157,서울특별시 노원구청,2020-07-10
"월계1동 480-7 주변",1,서울특별시 노원구 광운로2가길 14-25,서울특별시 노원구 월계동 480-7,37.6170842703,127.0603213187,,한전주,02-2116-4157,서울특별시 노원구청,2020-07-10
"월계1동 438 주변",1,서울특별시 노원구 광운로2가길 14-21,서울특별시 노원구 월계동 480-1,37.6171996522,127.0602126757,,전용주,02-2116-4157,서울특별시 노원구청,2020-07-10
"월계1동 438 주변",1,서울특별시 노원구 광운로2가길 14-21,서울특별시 노원구 월계동 480-1,37.6171996522,127.0602126757,,한전주,02-2116-4157,서울특별시 노원구청,2020-07-10
"월계1동 438 주변",1,서울특별시 노원구 광운로2나길 23,서울특별시 노원구 월계동 438,37.6175598595,127.0605799526,,한전주,02-2116-4157,서울특별시 노원구청,2020-07-10
"월계1동 436 주변",1,서울특별시 노원구 광운로2나길 30,서울특별시 노원구 월계동 436,37.6161506378,127.0607283195,,한전주,02-2116-4157,서울특별시 노원구청,2020-07-10
"월계1동 438 주변",1,서울특별시 노원구 광운로2나길 23,서울특별시 노원구 월계동 438,37.6175598595,127.0605799526,,한전주,02-2116-4157,서울특별시 노원구청,2020-07-10
"월계1동 376-56 주변",1,서울특별시 노원구 광운로19가길 43,서울특별시 노원구 월계동 376-56,37.6250137772,127.0587010433,,건축물,02-2116-4157,서울특별시 노원구청,2020-07-10
"월계1동 산190 주변",1,서울특별시 노원구 광운로 20,서울특별시 노원구 월계동 943,37.6193197171,127.0583386327,,한전주,02-2116-4157,서울특별시 노원구청,2020-07-10
"월계1동 산190 주변",1,서울특별시 노원구 광운로 20,서울특별시 노원구 월계동 943,37.6193197171,127.0583386327,,전용주,02-2116-4157,서울특별시 노원구청,2020-07-10
