"관리번호",공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
11170-00024,서빙고공원,근린공원,,서울특별시 용산구 용산동5가 24-2,37.52478246,126.9711908,11879,,,음수대,,,2003-05-10,용산구청,02-2199-7603,2020-03-17
11170-00025,기와터공원,근린공원,,서울특별시 용산구 한강로3가 63-388,37.52576931,126.9696613,2225,,,음수대,,,2003-06-05,용산구청,02-2199-7603,2020-03-17
11170-00026,문배어린이공원,어린이공원,,서울특별시 용산구 문배동 24-1,37.53662808,126.969795,842,,"조합놀이대, 그네 등",,,,2003-06-30,용산구청,02-2199-7605,2020-03-17
11170-00027,서계가로어린이공원,어린이공원,,서울특별시 용산구 서계동 276-7,37.5512847,126.9642518,183,,,,,,2004-11-20,용산구청,02-2199-7605,2020-03-17
11170-00028,후암어린이공원,어린이공원,,서울특별시 용산구 후암동 406-80,37.54720969,126.9837162,182,,,,,,2005-10-31,용산구청,02-2199-7605,2020-03-17
11170-00029,비상공원,소공원,,서울특별시 용산구 이촌동 417,37.52234239,126.971394,889,,조합놀이대,,,,2006-03-23,용산구청,02-2199-7605,2020-03-17
11170-00030,청탑공원,소공원,,서울특별시 용산구 이촌동 425,37.5178079,126.9773724,546,,,,,,2006-03-23,용산구청,02-2199-7605,2020-03-17
11170-00031,사촌공원,소공원,,서울특별시 용산구 이촌동 429,37.52062627,126.9709198,1500,,조합놀이대,,,,2006-03-23,용산구청,02-2199-7605,2020-03-17
11170-00032,강변복지공원,소공원,,서울특별시 용산구 이촌동 421,37.52111412,126.9659015,377,,조합놀이대,,,,2006-03-23,용산구청,02-2199-7605,2020-03-17
11170-00033,이촌한우리공원,소공원,,서울특별시 용산구 이촌동 437,37.51713728,126.9811033,4325,,,음수대,,,2006-03-23,용산구청,02-2199-7605,2020-03-17
11170-00034,해님공원,소공원,,서울특별시 용산구 문배동 45,37.53914485,126.9701225,1255,,그네,,,,2009-05-07,용산구청,02-2199-7605,2020-03-17
11170-00035,달님공원,소공원,,서울특별시 용산구 문배동 46,37.53842848,126.9696005,1195,,그네,,,,2009-05-07,용산구청,02-2199-7605,2020-03-17
11170-00036,별님공원,소공원,,서울특별시 용산구 문배동 11-1,37.5381649710,126.9692013232,1137,,,,,,2009-05-07,용산구청,02-2199-7605,2020-03-17
11170-00037,이태원마을숲,소공원,,서울특별시 용산구 이태원2동 260-87,37.54138447,126.9916144,867,,,,,,2010-05-13,용산구청,02-2199-7605,2020-03-17
11170-00038,독서당공원,소공원,,서울특별시 용산구 한남동 1-32,37.53446933,127.0124813,469,,그네,,,,2010-05-13,용산구청,02-2199-7605,2020-03-17
11170-00039,한남공원,소공원,,서울특별시 용산구 한남동 15-5,37.53723823,127.0138818,432,,조합놀이대,,,,2010-05-13,용산구청,02-2199-7605,2020-03-17
11170-00040,이태원어린이놀이터,소공원,,서울특별시 용산구 이태원동 190-11,37.53568455,126.9899372,278,,조합놀이대,,,,2010-05-13,용산구청,02-2199-7605,2020-03-17
11170-00041,한강대로공원,소공원,,서울특별시 용산구 한강로3가 65-587,37.52410325,126.9635751,466,,,,,,2011-11-17,용산구청,02-2199-7605,2020-03-17
11170-00042,이태원부군당,역사공원,서울특별시 용산구 녹사평대로40다길 33,서울특별시 용산구 이태원동 191-3,37.5358007154,126.9897547,2020,,,,"동상, 탑기념비",,2013-09-05,용산구청,02-2199-7593,2020-03-17
11170-00043,신용산가로공원,가로공원,,서울특별시 한강로2가 424-1,37.5311035,126.9641411,2410,,,앉음벽 등,,,2010-12-02,용산구청,02-2199-7603,2020-03-17
11170-00044,한강로가로공원,가로공원,,서울특별시 한강로3가 65-325,37.524518,126.9619794,1076.3,,,"앉음벽, 벤치 등",,,2015-08-06,용산구청,02-2199-7603,2020-03-17
