"관리번호",공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
11200-00014,아남,어린이공원,서울특별시 성동구 아차산로15길 52,서울특별시 성동구 성수동2가 280-12,37.54699097,127.0647052,984.1,"족구장 1개소, 농구장 1개소, 체력단련시설 1개소 5개",없음,없음,없음,없음,1985-02-14,서울특별시 성동구,02-2886-5655,2021-03-03
11200-00015,열림,어린이공원,서울특별시 성동구 성수이로12길 14,서울특별시 성동구 성수2가1동 327-3,37.53962218,127.056782,198,없음,조합놀이대 1개소,없음,없음,없음,1991-10-05,서울특별시 성동구,02-2886-5655,2021-03-03
11200-00016,응봉개나리,어린이공원,서울특별시 성동구 독서당로62가길 62,서울특별시 성동구 응봉동 270,37.54850228,127.0319544,462,없음,"조합놀이대 1개소, 그네 1개소,",없음,없음,없음,1947-01-09,서울특별시 성동구,02-2886-5655,2021-03-03
11200-00017,서마장,어린이공원,서울특별시 성동구 청계천로10가길 102,서울특별시 성동구 마장동 450-67,37.5716811,127.0373468,350.3,없음,조합놀이대 1개소,없음,없음,없음,1975-11-15,서울특별시 성동구,02-2886-5655,2021-03-03
11200-00018,송정,어린이공원,서울특별시 성동구 동일로 263-49,서울특별시 성동구 송정동 90-4,37.5552453,127.0704912,236.4,없음,"조합놀이대 1개소, 그네 1개",없음,없음,없음,2001-11-23,서울특별시 성동구,02-2886-5655,2021-03-03
11200-00019,미소,어린이공원,서울특별시 성동구 난계로 95,서울특별시 성동구 하왕십리동 1055,37.5600303,127.023383,3411,체력단련시설 1개소 6개,"놀이대 2개소, 모래밭 1개소",없음,없음,없음,1974-03-29,서울특별시 성동구,02-2886-5655,2021-03-03
11200-00020,응삼,어린이공원,서울특별시 성동구 고산자로 160,서울특별시 성동구 응봉동 15-1,37.55465746,127.035106,1646.7,체력단련시설 1개소 2개,"조합놀이대 1개소, 그네 1개소, 미끄럼틀 1개소",없음,없음,없음,1975-04-25,서울특별시 성동구,02-2886-5655,2021-03-03
11200-00021,상원,어린이공원,서울특별시 성동구 상원길 39,서울특별시 성동구 성수동1가 715-1,37.54746321,127.0473523,2636,체력단련시설 1개소 6개,"조합놀이대 1개소, 그네 1개소",없음,없음,없음,2001-04-12,서울특별시 성동구,02-2886-5655,2021-03-03
11200-00022,보람,어린이공원,서울특별시 성동구 마장로 255,서울특별시 성동구 마장동 827,37.56613727,127.0387561,823.3,없음,"조합놀이대 1개소, 시소 1개소",없음,없음,없음,2000-03-18,서울특별시 성동구,02-2886-5655,2021-03-03
11200-00023,무지개,어린이공원,서울특별시 성동구 성수이로7길 27,서울특별시 성동구 성수동2가 844,37.54183407,127.0530064,2143,없음,조합놀이대 2개소,없음,없음,없음,2005-05-12,서울특별시 성동구,02-2886-5655,2021-03-03
11200-00032,도장골,소공원,서울특별시 성동구 행당로 82,서울특별시 성동구 행당동 346-2,37.55475417,127.0270878,678.3,없음,없음,없음,없음,없음,2009-05-28,서울특별시 성동구,02-2886-5655,2021-03-03
11200-00024,도선,어린이공원,서울특별시 성동구 홍익동 무학로8길 8 도선동공영주차장,서울특별시 성동구 홍익동 370,37.56550468,127.031418,2332.5,체력단련시설 1개소 7개,조합놀이대 1개소,없음,없음,없음,2005-03-11,서울특별시 성동구,02-2886-5655,2021-03-03
11200-00025,살구골,어린이공원,서울특별시 성동구 고산자로 177,서울특별시 성동구 행당동 376-3,37.55573009,127.0335764,1573.9,체력단련시설 1개소 3개,,없음,없음,없음,2004-11-10,서울특별시 성동구,02-2886-5655,2021-03-03
11200-00026,금동,어린이공원,서울특별시 성동구 무수막길 16,서울특별시 성동구 금호동2가 1218,37.54967964,127.0255865,2591,체력단련시설 1개소 6개,"조합놀이대 1개소, 모래밭 1개소, 미끄럼틀 1개, 시소 1개",없음,없음,없음,2006-07-20,서울특별시 성동구,02-2886-5655,2021-03-03
11200-00029,논골새싹,어린이공원,서울특별시 성동구 난계로 56,서울특별시 성동구 행당동 347-2,37.55701613,127.0250458,2837.1,"체력단련시설 1개소 7개, 농구장 1개소","조합놀이대 1개소, 그네 1개소",화장실 1개소,없음,없음,2010-02-20,서울특별시 성동구,02-2886-5655,2021-03-03
11200-00030,꽃재,어린이공원,서울특별시 성동구 마장로 161,서울특별시 성동구 하왕십리동 1069,37.56742414,127.0283644,2810,"운동장 1개소, 체력단련시설 1개소 4개","조합놀이대 1개, 오르기놀이대 1개",없음,없음,없음,2007-08-13,서울특별시 성동구,02-2286-5655,2021-03-03
11200-00031,전관원,어린이공원,서울특별시 성동구 살곶이길 327,서울특별시 성동구 행당동 90-2,37.55423246,127.0399269,4760,체력단련시설 1개소 4개,"시소 1개, 기타 4개",없음,없음,없음,2008-07-31,서울특별시 성동구,02-2286-5655,2021-03-03
11200-00033,동부,소공원,서울특별시 성동구 왕십리로6길 30,서울특별시 성동구 성수동1가 656-1735,37.54498994,127.0474356,251,체력단련시설 1개소 5개,없음,없음,없음,없음,2009-05-28,서울특별시 성동구,02-2886-5655,2021-03-03
11200-00034,청송,소공원,서울특별시 성동구 아차산로9길 20,서울특별시 성동구 성수동2가 277-23,37.54548954,127.0584887,798.7,체력단련시설 1개소 6개,없음,없음,없음,없음,2009-05-28,서울특별시 성동구,02-2886-5655,2021-03-03
11200-00035,향림,소공원,서울특별시 성동구 성수일로10길 23,서울특별시 성동구 성수동2가 289-28,37.54677141,127.0533154,987.8,체력단련시설 1개소 5개,없음,없음,없음,없음,2009-05-28,서울특별시 성동구,02-2886-5655,2021-03-03
11200-00036,장미,소공원,서울특별시 성동구 동일로 227,서울특별시 성동구 송정동 107,37.5522684,127.0689677,485.4,체력단련시설 1개소 5개,없음,없음,없음,없음,2006-05-18,서울특별시 성동구,02-2886-5655,2021-03-03
11200-00037,금옥,소공원,서울특별시 성동구 금호로 117,서울특별시 성동구 금호동2가 1213,37.55344443,127.0211798,1230,체력단련시설 1개소 5개,없음,없음,없음,없음,2006-07-20,서울특별시 성동구,02-2886-5655,2021-03-03
11200-00038,금남,소공원,서울특별시 성동구 금호산8길 13,서울특별시 성동구 금호동3가 701,37.54929072,127.0217784,834,체력단련시설 1개소 4개,없음,없음,없음,없음,2006-11-30,서울특별시 성동구,02-2886-5655,2021-03-03
11200-00039,옥정,소공원,서울특별시 성동구 옥수동 매봉길 21 서울성동지역자활센터,서울특별시 성동구 옥수동 562-1,37.5458337,127.0153489,711.76,체력단련시설 1개소 4개,없음,없음,없음,없음,2006-06-29,서울특별시 성동구,02-2886-5655,2021-03-03
11200-00040,매봉,소공원,서울특별시 성동구 매봉길 50,서울특별시 성동구 옥수동 561-1,37.54528941,127.0121475,2006.7,체력단련시설 1개소 4개,없음,없음,없음,없음,2006-06-29,서울특별시 성동구,02-2886-5655,2021-03-03
11200-00041,왕십리 KCC스위첸,소공원,서울특별시 성동구 무학봉길 35,서울특별시 성동구 하왕십리동 1002-1,37.56067856,127.0256129,1514.1,체력단련시설 2개소 5개,없음,없음,없음,없음,2010-07-15,서울특별시 성동구,02-2286-5655,2021-03-03
11200-00042,뉴타운2구역,기타,서울특별시 성동구 마장로 137,서울특별시 성동구 상왕십리동 811-3,37.56909044,127.0258323,2517,없음,없음,없음,없음,없음,2005-08-04,서울특별시 성동구,02-2886-5656,2021-03-03
11200-00043,뉴타운1구역,기타,서울특별시 성동구 마장로 137,서울특별시 성동구 하왕십리동 1066-1,37.56898115,127.0260049,2452.4,없음,없음,없음,없음,없음,2006-03-16,서울특별시 성동구,02-2886-5656,2021-03-03
11200-00028,청계꿈나무,어린이공원,서울특별시 성동구 마장로 161,서울특별시 성동구 하왕십리동 1068,37.56781934,127.0278905,1705,없음,"조합놀이대 1개소, 그네 1개",없음,없음,없음,2007-10-02,서울특별시 성동구,02-2886-5655,2021-03-03
11200-00027,푸른,어린이공원,서울특별시 성동구 금호로1길 38,서울특별시 성동구 금호동4가 235-3,37.54710995,127.0235968,1681.8,체력단련시설 1개소 4개,"조합놀이대 1개소, 그네 1개소",없음,없음,없음,2004-07-15,서울특별시 성동구,02-2886-5655,2021-03-03
11200-00044,견우,어린이공원,서울특별시 성동구 왕십리로 410,서울특별시 성동구 상왕십리동 816-3,37.56639103,127.0249018,1500,체력단련시설 1개소 3개,"조합놀이대 1개소, 그네 1개소 , 흔들놀이기구 2개 등",없음,없음,없음,2011-03-17,서울특별시 성동구,02-2886-5655,2021-03-03
11200-00045,직녀,어린이공원,서울특별시 성동구 하왕십리동 마장로 164 기독교대한감리회 꽃재교회,서울특별시 성동구 하왕십리동 1070-5,37.5667467,127.0278177,1500,체력단련시설 1개소 4개,"조합놀이대 1개소, 그네 1개소 , 흔들놀이기구 2개 등",없음,없음,없음,2011-03-17,서울특별시 성동구,02-2886-5655,2021-03-03
11200-00046,트리마제,소공원,서울특별시 성동구 성수동1가 왕십리로 16 103동,서울특별시 성동구 성수동1가 718,37.53923821,127.0444788,2762.8,없음,없음,없음,없음,없음,2012-08-02,서울특별시 성동구,02-2886-5655,2021-03-03
11200-00047,하왕1-5구역,소공원,서울특별시 성동구 무학봉길 1,서울특별시 성동구 하왕십리동 1071-2,37.55946239,127.0247665,1451.1,체력단련시설 1개소,없음,없음,없음,없음,2007-05-17,서울특별시 성동구,02-2886-5655,2021-03-03
11200-00048,행당4구역,소공원,서울특별시 성동구 행당로6길 74,서울특별시 성동구 행당동 323-24,37.5555693,127.0320798,1235,없음,없음,없음,없음,없음,2003-12-15,서울특별시 성동구,02-2886-5655,2021-03-03
