"관리번호",공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
11140-00023,진달래공원,소공원,서울특별시 중구 정동 1-73,서울특별시 중구 정동 1-73,37.568003,126.974807,713,,,,,,1985-01-06,서울특별시 중구청,02-3396-5855,2020-06-04
11140-00024,마루공원,소공원,서울특별시 중구 다산동 432-1918,서울특별시 중구 다산동 432-1918,,,337,,,,,,1995-05-16,서울특별시 중구청,02-3396-5855,2020-06-04
11140-00025,만리2구역1공원,소공원,서울특별시 중구 만리동2가 231-2,서울특별시 중구 만리동2가 231-2,37.552473,126.963143,1204.2,,,,,,2017-08-09,서울특별시 중구청,02-3396-5855,2020-06-04
11140-00026,만리2구역2공원,소공원,서울특별시 중구 만리동2가 211,서울특별시 중구 만리동2가 211,37.552941,126.963462,3394.5,,,,,,2017-08-09,서울특별시 중구청,02-3396-5855,2020-06-04
11140-00027,다동공원,소공원,서울특별시 중구 다동 51,서울특별시 중구 다동 51,37.567911,126.980148,1929,,,,,,1976-04-07,서울특별시 중구청,02-3396-5855,2020-06-04
11140-00028,서소문제5지구공원,소공원,서울특별시 중구 서소문동 세종대로 69-18,서울특별시 중구 서소문동 119,37.5631062029,126.9752235896,117.5,,,,,,2009-12-24,서울특별시 중구청,02-3396-5855,2020-06-04
11140-00029,신당제11구역1공원,소공원,서울특별시 중구 신당동 85-549,서울특별시 중구 신당동 85-549,,,277,,,,,,2011-06-23,서울특별시 중구청,02-3396-5855,2020-06-04
11140-00030,신당제11구역2공원,소공원,서울특별시 중구 신당동 85-288,서울특별시 중구 신당동 85-288,,,77,,,,,,2011-06-23,서울특별시 중구청,02-3396-5855,2020-06-04
11140-00031,손기정공원,체육공원,서울특별시 중구 손기정로 101,서울특별시 중구 만리동2가 6-1,37.5554795035,126.9648157462,29682,"축구장, 게이트볼장, 테니스장",조합놀이대,"화장실,주차장",,,1987-09-18,서울특별시 중구청,02-3396-5852,2020-06-04
11140-00032,서소문공원,역사공원,서울특별시 중구 칠패로 5,서울특별시 중구 의주로2가 16-2,37.5605678517,126.9688671610,21363,,,"화장실,주차장",,,1973-11-22,서울특별시 중구청,02-3396-5852,2020-06-04
11140-00033,한빛미디어파크,역사공원,서울특별시 중구 삼각동 118,서울특별시 중구 삼각동 118,37.568073,126.985152,2071,,,,,,2006-06-15,서울특별시 중구청,02-3396-5852,2020-06-04
11140-00034,순화문화공원,문화공원,서울특별시 중구 순화동 216-2,서울특별시 중구 순화동 216-2,37.559824,126.971601,2103,,,,,,1973-09-06,서울특별시 중구청,02-3396-5852,2020-06-04
11140-00035,명동문화공원,문화공원,서울특별시 중구 저동 90-10,서울특별시 중구 저동 90-10,37.564745,126.986445,1456,,,,,,1984-04-27,서울특별시 중구청,02-3396-5852,2020-06-04
